Feature,Gain
HP_Frac_UA_10,0.15059020654517677
HP_Ratio_UAs,0.111492989538624
HP_nAvg_UA_Popularity,0.09637619794178959
HP_Frac_UA_5,0.088718249800118
UP_URL_Length_Max,0.04021007713467291
UP_URL_Length_Mean,0.03716683159623971
UP_URL_Length_Min,0.030501792407947276
total_bytes,0.028448100716256537
PF_RecvSentBytes,0.027077867727961457
PF_TotalBytes,0.02573395206239012
UP_No_Para_Min,0.02256229730526911
total_recv_bytes,0.017879991953743155
HP_Frac_UA_1,0.01772509787134474
PF_SCode_4xxRatio,0.01570230498591942
UP_No_Para_Mean,0.015547634953339759
total_sent_bytes,0.014664366631158715
PF_SCode_4xx,0.013735344108252915
PF_GET_freq,0.01324475741096564
UP_No_Values_Mean,0.013219564136756155
UP_No_Para_Max,0.011815831887698518
UP_No_Values_Min,0.011722665432541978
PF_Content_Length_max,0.010224146938691687
Content_Length_min,0.010203524972927577
Content_Length_max,0.010032925367240741
Content_Length_Total,0.009992281409025755
Content_Length_median,0.009608025255173978
UP_Depth_Mean,0.009543682885690427
PF_cf_html,0.008893720451924934
PF_Content_Length_median,0.008435106617742275
PF_SCode_2xx,0.008422180753455607
UP_No_Values_Max,0.008362099902009416
PF_POST_freq,0.008077353128907321
PF_Content_Length_min,0.007783765084938553
PF_total_getpost,0.006507319524127678
PF_SCode_2xxRatio,0.006320527355314699
PF_Content_Length_Total,0.006309592314311606
PF_total_SCode,0.006239003318177147
PF_cf_image,0.004988930117074655
PF_cf_htmlRatio,0.004719401131188866
UP_Depth_Max,0.00452528602498052
PF_total_cf,0.004512011228698736
UP_Frac_URL_filename_exe,0.0037845745546458576
PF_POST_ratio,0.003729827976515139
PF_cf_imageRatio,0.0035641595415010887
PF_SCode_3xxRatio,0.00350490274286657
UP_Num_Filename,0.0032077311518487507
PF_SCode_3xx,0.003167307267678729
UP_Frac_URL_filename,0.003103738935427792
PF_GET_ratio,0.002559577524421718
UP_Depth_Min,0.002483841640452268
PF_cf_app,0.002384162247166299
PF_SCode_1xxRatio,0.0021373596156254583
UP_Distinct_url,0.001951075591081592
PF_cf_jsRatio,0.001834839829849687
PF_cf_appRatio,0.0016487362961245858
PF_SCode_1xx,0.0015073939699330535
PF_cf_js,0.0009213655383446882
PF_cf_textRatio,0.0003738797575805168
PF_cf_text,0.00024685574474911755
PF_SCode_5xx,5.166414441840303e-05
UP_Frac_query,0.0
PF_SCode_5xxRatio,0.0
PF_cf_videoRatio,0.0
PF_cf_video,0.0
